,Titulos,Links
0,Boost to England fans as strong beers BACK at Euro 2024 clash against Denmark,https://www.thesun.co.uk/sport/28584321/euro-2024-england-denmark-beer/
1,Prem drama after HALF of £250k trophy stolen and had to be secretly replaced,https://www.thesun.co.uk/sport/28583980/premier-league-trophy-stolen-belgium/
2,Leicester close to appointing Graham Potter as manager to replace Enzo Maresca,https://www.thesun.co.uk/sport/28580543/leicester-new-manager-graham-potter/
3,Everton on verge of £800m takeover as Roma billionaire Dan Friedkin wins race,https://www.thesun.co.uk/sport/28574207/everton-moshiri-takeover-roma-dan-friedkin/
4,Euro 2024 free bets: Get £60 welcome bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/28298909/euro-2024-free-bets-football-william-hill/
5,Cristiano Ronaldo clambers through bushes to take selfies with Portugal fans,https://www.thesun.co.uk/sport/28580445/cristiano-ronaldo-climbing-bushes-selfies-portugal-fans/
6,Chesney Hawkes makes TikTok version of Hey Jude as he issues plea to Bellingham,https://www.thesun.co.uk/sport/28585903/chesney-hawkes-tiktok-hey-jude-bellingham/
7,Chelsea set to reject cheeky low Atletico bid for England ace Gallagher,https://www.thesun.co.uk/sport/28577529/conor-gallagher-transfer-bid-atletico-madrid-chelsea-england/
8,Man Utd 'eying £34m Zirkzee deal with Red Devils' interest at advanced stage',https://www.thesun.co.uk/sport/28582619/joshua-zirkzee-man-utd-transfer-bid-bologna/
9,Euro 2024 free bets & offers - New customer deals from our betting partners,https://www.thesun.co.uk/sport/28332923/euro-2024-free-bets-offers-deals/
10,Mbappe 'OUT of Netherlands clash' with ace 'unlikely to adjust to mask in time',https://www.thesun.co.uk/sport/28569824/kylian-mbappe-netherlands-broken-nose-france-mask/
11,Chelsea 'have £34m transfer bid for Atletico Madrid striker rejected',https://www.thesun.co.uk/sport/28582744/chelsea-transfer-bid-atletico-madrid-samu-omorodion-rejected/
12,Kobbie Mainoo reveals FOUR positions he can play in England and Man Utd boost,https://www.thesun.co.uk/sport/28585192/england-kobbie-mainoo-reveals-four-positions-southgate/
13,Gary Lineker 'breaks BBC rules AGAIN' while hosting Euro 2024 coverage,https://www.thesun.co.uk/sport/28565346/gary-lineker-breaks-bbc-rules-again/
14,Gordon asks fiancée to take self help book Ronaldo swears by to Germany,https://www.thesun.co.uk/sport/28579059/anthony-gordon-cristiano-ronaldo-self-help-robbins-book/
15,Arsenal fixtures in full with 3 of last season's top 5 in brutal opening run,https://www.thesun.co.uk/sport/28553030/arsenal-premier-league-fixtures-revealed/
16,Chelsea boss Maresca takes on mentor Pep in opening test as fixtures released,https://www.thesun.co.uk/sport/28553271/chelsea-premier-league-fixtures-revealed-man-city/
17,Man Utd Prem fixtures released with Ten Hag handed Friday night opener,https://www.thesun.co.uk/sport/28553268/man-utd-premier-league-fixtures-revealed/
18,Funny moment England squad finally find something Bellingham isn't very good at,https://www.thesun.co.uk/sport/28584314/england-jude-bellingham-balloon-ping-pong-video/
19,Fans convinced Premier League is 'rigged' after 2024/25 fixtures are released,https://www.thesun.co.uk/sport/28566018/premier-league-fixtures-rigged-fans-say/
20,Man Utd legend Ruud van Nistelrooy lined up for shock Championship job,https://www.thesun.co.uk/sport/28581259/ruud-van-nistelrooy-burnley-manager-frank-lampard-carlos-corberan/
21,Micah Richards opens up on Euros manager he called a 'd***head' on first day,https://www.thesun.co.uk/sport/28580559/micah-richards-euro-2024-manager-turkey-vincenzo-montella/
22,Euro 2024: Get £50 in free bets to spend on football with Betfred,https://www.thesun.co.uk/sport/19802294/betfred-free-bets-welcome-bonus-offer/
23,Glamorous Alisha Lehmann joins no bra club as she stuns in Hollywood,https://www.thesun.co.uk/sport/28575895/aston-villa-alisha-lehmann-la/
24,'If this was ten years ago...' - Pearce reveals major Cristiano Ronaldo concern,https://www.thesun.co.uk/sport/28584782/stuart-pearce-cristiano-ronaldo-problem-portugal-czech-republic/
25,Cash-strapped Everton set to sign Aston Villa midfielder in shock £10m deal,https://www.thesun.co.uk/sport/28584105/everton-sign-aston-villa-tim-iroegbunam-10m-transfer-takeover/
26,Fans convinced they know exactly when Ten Hag will be axed after fixtures released,https://www.thesun.co.uk/sport/28567795/man-utd-erik-ten-hag-sack/
27,Boxer who broke nose 15 TIMES fires warning to Mbappe after injury,https://www.thesun.co.uk/sport/28577511/boxer-broke-nose-kylian-mbappe-france-euro-2024/
28,Mario Balotelli takes up new sport as he 'calls out former UFC champion',https://www.thesun.co.uk/sport/28575643/mario-balotelli-ufc-jorge-masvidal/
29,Ronaldo breaks protocol with bizarre start in bid for more records at Euros,https://www.thesun.co.uk/sport/28584678/cristiano-ronaldo-portugal-kick-off-czech-republic/
30,Robbie Savage appointed Macclesfield manager as he brings in England cult hero,https://www.thesun.co.uk/sport/28561495/robbie-savage-macclesfield-manager-michael-clegg/
31,Everton make special request to play final Prem game AWAY from Goodison Park,https://www.thesun.co.uk/sport/28571175/everton-goodison-park-final-game-bramley-moore-dock/
32,Serbia captain forced to apologise after ranting 'I'm the best and should start',https://www.thesun.co.uk/sport/28581346/serbia-dusan-tadic-apology-england/
33,Embarrassing reason behind Landon Donovan's viral haircut at Euros revealed,https://www.thesun.co.uk/sport/28568989/landon-donovan-reason-hairstyle-barber/
34,"Kylian Mbappe broken nose LATEST, Scotland star hit with BAN",https://www.thesun.co.uk/sport/28405546/euro-2024-news-live-england-latest-kylian-mbappe-updates/
35,Juventus set to ditch Mason Greenwood deal for Man Utd team-mate Jadon Sancho,https://www.thesun.co.uk/sport/28559720/man-utd-transfer-mason-greenwood-juve-sancho/
36,Erik ten Hag gets major boost as Kobbie Mainoo reacts to manager staying on,https://www.thesun.co.uk/sport/28579267/erik-ten-hag-boost-kobbie-mainoo-man-utd/
37,Prem to make rule change that will make huge difference to team news,https://www.thesun.co.uk/sport/28573301/premier-league-rule-change-team-announcements/
38,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
39,Bet £10 on football and get £30 in free bets PLUS 50 free spins with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
40,Get £20 in free bets for Euro 2024 when you stake £5 on football with Ladbrokes,https://www.thesun.co.uk/sport/22580085/ladbrokes-free-bets-new-customer-bonus-football/
41,Wanda Nara risks Instagram ban as she poses naked to promote new single,https://www.thesun.co.uk/sport/28562683/wanda-nara-naked-instagram-ban-music-video-mauro-icardi/
42,Scots fan hailed for aiding old man in walking frame during Cologne washout,https://www.thesun.co.uk/sport/28584560/scotland-fans-help-old-man-rain-storm-cologne/
43,Football's 'Adam and Eve' go viral with naked pic to celebrate anniversary,https://www.thesun.co.uk/sport/28564566/football-adam-eve-naked/
44,Ivan Toney & Declan Rice become instant best pals in potential Arsenal boost,https://www.thesun.co.uk/sport/28583632/declan-rice-ivan-toney-england-euro-2024-friends/
45,Fans all switch over to ITV as Euro 2024 host is 'substituted' for Laura Woods,https://www.thesun.co.uk/sport/28559236/itv-euro-2024-coverage-laura-woods/
46,Euro 2024 top goalscorer odds and betting tips and predictions,https://www.thesun.co.uk/sport/28340622/euro-2024-top-goalscorer-odds-betting-tips-predictions/
47,Euro 2024 betting boosts and promotions for existing customers,https://www.thesun.co.uk/sport/28366635/euro-2024-betting-boosts-promotions-existing-customers/
48,Euro 2024 outright winner odds and betting tips: England and France favourites,https://www.thesun.co.uk/sport/28344801/euro-2024-outright-winner-odds-betting-tips/
49,Why England star Kieran Trippier was given pickle juice on touchline vs Serbia,https://www.thesun.co.uk/sport/28575717/england-kieran-trippier-serbia-pickle-juice-cramp/
50,Fans say 'current Kante is prime Kante' as he gets MOTM after two years away,https://www.thesun.co.uk/sport/28562980/ngolo-kante-chelsea-france-euros-match-award/
51,Stones given brutal 3/10 as Europe unimpressed by England's Euro 2024 opener,https://www.thesun.co.uk/sport/28543112/england-euro-2024-serbia-john-stones-bellingham-kane/
52,Euros fan sent to 'abandoned dungeon' from 'murder film' on Booking.com,https://www.thesun.co.uk/sport/28544488/scotland-euros-fan-sent-to-abandoned-dungeon-germany/
53,What odds are England to win Euro 2024?,https://www.thesun.co.uk/sport/28358282/what-odds-england-win-euro-2024-predictions-tips/
54,Man Utd star Rasmus Hojlund's Wag ready to cheer on Denmark against England,https://www.thesun.co.uk/sport/28549439/man-utd-rasmus-hojlund-wag-denmark-kit-hat-england/
55,England star Guehi idolised John Terry and could earn transfer from Euro 2024,https://www.thesun.co.uk/sport/28549395/england-marc-guehi-john-terry-chelsea-euros/
56,Scotland fan dies suddenly at Euros as tributes paid to 'genuine good guy',https://www.thesun.co.uk/sport/28567919/scotland-fan-dies-suddenly-at-euros-germany/
57,Dominic Calvert-Lewin gets engaged to girlfriend with beautiful 12-word message,https://www.thesun.co.uk/sport/28559282/dominic-calvert-lewin-engaged-girlfriend-sandra-herze-everton/
58,Keira Walsh thought to be in Barcelona plans for future amid Arsenal interest,https://www.thesun.co.uk/sport/28576256/walsh-barcelona-plans-arsenal-interest-reports-wsl/
59,Kane hugs wife & Gallagher cosies up to model Wag as stars celebrate Euros win,https://www.thesun.co.uk/sport/28542011/harry-kane-conor-gallagher-england-euro-2024-serbia/
60,Watch mass brawl break out after horror tackle on Luis Diaz in Colombia game,https://www.thesun.co.uk/sport/28536970/mass-brawl-horror-tackle-luis-diaz-colombia-bolivia/
61,Erik ten Hag takes swipe at Gareth Southgate after England's Euro 2024 opener,https://www.thesun.co.uk/sport/28542134/erik-ten-hag-gareth-soutgate-england-euro-2024-serbia/
62,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
63,Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/
64,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/
65,"£34m Zirkzee 'advanced interest', Prem fixtures CONFIRMED, Greenwood latest",https://www.thesun.co.uk/sport/27841556/man-utd-transfer-news-live-joshua-zirkzee-updates/
66,"Gunners Prem fixtures REVEALED, £85million Gyokeres LATEST, Sesko blow",https://www.thesun.co.uk/sport/27840895/arsenal-transfer-news-live-premier-league-fixtures-revealed/
67,"How much Chelsea will pay for Willian Estevao, 17, but he won't join for a year",https://www.thesun.co.uk/sport/28533900/chelsea-transfer-news-willian-estevao-palmeiras/
68,Man Utd ‘reignite transfer’ for Euro star Simons after ‘agreeing deal last year’,https://www.thesun.co.uk/sport/28535238/man-utd-transfer-holland-psg-xavi-simons/
69,Kylian Mbappe's brother Ethan released by PSG days after star's Real Madrid move,https://www.thesun.co.uk/sport/28579530/kylian-mbappe-brother-ethan-released-psg-real-madrid-transfer/
70,Brighton make Summerville enquiry as they look to beat Chelsea to Leeds star,https://www.thesun.co.uk/sport/28581146/crysencio-summerville-transfer-bid-brighton-chelsea-leeds/
71,Valencia 'make £25million Mason Greenwood bid with star 'keen to stay in Spain',https://www.thesun.co.uk/sport/28531020/valencia-25m-transfer-offer-mason-greenwood-prefer-spain-stay/
72,Todd Boehly in humiliating blow as Wolves hijack deal for Chelsea target,https://www.thesun.co.uk/sport/28556900/chelsea-todd-boehly-wolves-pedro-lima-transfer/
73,Watch as Erling Haaland forced to show his ID to riot cops in Marbella,https://www.thesun.co.uk/sport/28543724/manchester-city-erling-haaland-marbella-beach-club/
74,Michael Carrick set to hire his brother from Premier League side,https://www.thesun.co.uk/sport/28558008/michael-carrick-brother-graeme-middlesbrough-newcastle-coach-aaron-danks/
75,Erik ten Hag reveals why Man Utd chose to keep him after talks with Tuchel,https://www.thesun.co.uk/sport/28546836/erik-ten-hag-man-utd-thomas-tuchel/
76,Ten Hag says Ratcliffe's Man Utd boss hiring process is BANNED in Holland,https://www.thesun.co.uk/sport/28539013/erik-ten-hag-jim-ratcliffe-man-utd/
77,"Unemployed ex-Prem ace, 34, brutally mocked by his own children on Father's Day",https://www.thesun.co.uk/sport/28536637/charlie-austin-unemployed-fathers-day/
78,England Wags Instagram rich list revealed ahead of Euro 2024,https://www.thesun.co.uk/sport/28435548/england-wags-instagram-rich-list-euro-2024/
79,"Meet France's gorgeous Wags, from a child psychologist to a tattoo artist",https://www.thesun.co.uk/sport/28547088/france-wags-euro-2024-child-psychologist-tattoo-artist/
80,Sky Sports presenter Melissa Reddy leaves fans lost for words in risque bikini,https://www.thesun.co.uk/sport/28549593/melissa-reddy-sky-sports-greece-crete/
81,"Foden needs to justify his England spot, Southgate has shown enough faith",https://www.thesun.co.uk/sport/28559066/dave-kidd-phil-foden-england-gareth-southgate/
82,England can win the Euros… if Gareth follows my 20-point plan to victory,https://www.thesun.co.uk/sport/28497863/piers-morgan-euro-england-win-gareth-southgate/
83,Ten Hag still not safe - Man Utd even asked rival club for advice on his future,https://www.thesun.co.uk/sport/28465676/erik-ten-hag-man-utd-future-still-uncertain/
