,Titulos,Links
0,Arsenal fixtures in full with 3 of last season's top 5 in brutal opening run,https://www.thesun.co.uk/sport/28553030/arsenal-premier-league-fixtures-revealed/
1,Chelsea boss Maresca takes on mentor Pep in opening test as fixtures released,https://www.thesun.co.uk/sport/28553271/chelsea-premier-league-fixtures-revealed-man-city/
2,Man Utd Prem fixtures released with Ten Hag handed Friday night opener,https://www.thesun.co.uk/sport/28553268/man-utd-premier-league-fixtures-revealed/
3,Mbappe rushed to hospital with broken nose after leaving Euros match in mask,https://www.thesun.co.uk/sport/28560704/kylian-mbappe-breaks-nose-euro-2024-france-austria/
4,French superstar's horror broken nose CONFIRMED after sickening collision,https://www.thesun.co.uk/sport/28334557/kylian-mbappe-broken-nose-injury-updates-latest/
5,Juventus set to ditch Mason Greenwood deal for Man Utd team-mate Jadon Sancho,https://www.thesun.co.uk/sport/28559720/man-utd-transfer-mason-greenwood-juve-sancho/
6,Man detained at Manchester Airport after fan trouble before England game,https://www.thesun.co.uk/sport/28561781/man-detained-at-manchester-airport/
7,Euro 2024 free bets: Get £60 welcome bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/28298909/euro-2024-free-bets-football-william-hill/
8,Euros fan sent to 'abandoned dungeon' from 'murder film' on Booking.com,https://www.thesun.co.uk/sport/28544488/scotland-euros-fan-sent-to-abandoned-dungeon-germany/
9,Wober OG proves decisive as French win overshadowed by Mbappe injury,https://www.thesun.co.uk/sport/28560583/austria-0-france-1-wober-mbappe-broken-nose/
10,Fans say 'current Kante is prime Kante' as he gets MOTM after two years away,https://www.thesun.co.uk/sport/28562980/ngolo-kante-chelsea-france-euros-match-award/
11,Premier League cult hero looks unrecognisable in Euro 2024 pundit role,https://www.thesun.co.uk/sport/28560069/landon-donovan-unrecognisable-euro-2024-pundit-fans/
12,Euro 2024 free bets & offers - New customer deals from our betting partners,https://www.thesun.co.uk/sport/28332923/euro-2024-free-bets-offers-deals/
